energy,tempo,danceability,loudness,liveness,valence,instrumentalness,speechiness,acousticness,track_popularity,track_name,track_artist,track_album_name,track_album_release_date,playlist_genre,playlist_subgenre,mode,key
0.674,93.121,0.736,-6.846,0.156,0.482,0.0,0.3,0.352,24,Boulot,"KeBlack, SDM",Focus,2024-11-22,afrobeats,nigerian,0.0,10.0
0.566,96.937,0.852,-8.8,0.0852,0.54,0.00951,0.093,0.221,61,WAHALA (feat. Olamide),"CKay, Olamide",WAHALA (FEAT. OLAMIDE),2024-04-19,afrobeats,nigerian,0.0,9.0
0.637,171.264,0.567,-4.032,0.235,0.882,0.0346,0.298,0.499,68,Hm Hm hm,Youka,VENIN,2024-07-05,afrobeats,nigerian,0.0,9.0
0.627,96.593,0.605,-5.778,0.0964,0.888,7.75e-05,0.347,0.105,44,Après Minuit (feat. Tiakola),"Wizkid, Tiakola",Morayo,2024-11-22,afrobeats,nigerian,0.0,1.0
0.732,115.019,0.748,-3.688,0.0723,0.967,0.0,0.0592,0.665,58,Minimum ça,Dr. Yaro,Minimum ça,2024-08-09,afrobeats,nigerian,0.0,3.0
0.552,112.022,0.813,-12.066,0.0951,0.517,0.00667,0.0426,0.0639,66,Tshwala Bam (feat. S.N.E),"TitoM, Yuppe, Burna Boy, S.N.E",Tshwala Bam (feat. S.N.E),2024-05-13,afrobeats,nigerian,0.0,4.0
0.622,104.273,0.627,-4.663,0.0853,0.575,0.0,0.118,0.639,53,Satanana (feat. DRE-A),"EBOLOKO, DRE-A",Satanana (feat. DRE-A),2024-08-23,afrobeats,nigerian,0.0,2.0
0.897,123.138,0.718,-5.701,0.881,0.912,0.0,0.164,0.153,67,AZAMAN,Rema,HEIS,2024-07-10,afrobeats,nigerian,1.0,1.0
0.652,166.058,0.476,-6.435,0.109,0.619,0.104,0.231,0.185,59,DIS MOI,"DJ Kawest, Joé Dwèt Filé",DIS MOI,2024-09-20,afrobeats,nigerian,1.0,1.0
0.631,175.946,0.721,-5.743,0.108,0.603,3.76e-06,0.264,0.123,65,42,Aya Nakamura,42,2024-06-19,afrobeats,nigerian,0.0,1.0
0.796,104.925,0.463,-6.604,0.204,0.736,0.0,0.222,0.0248,57,La vie d'un... / Ma préférée,"Dadju, Tayc",HÉRITAGE,2024-02-16,afrobeats,nigerian,1.0,5.0
0.738,130.18,0.612,-5.269,0.161,0.954,1.57e-06,0.117,0.517,61,Toma Toma,"Ruger, Tiwa Savage",Toma Toma,2024-11-15,afrobeats,nigerian,1.0,7.0
0.821,104.044,0.721,-5.695,0.0934,0.38,0.0,0.0355,0.178,64,Presidente,"Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega",Presidente,2024-10-21,latin,modern,1.0,11.0
0.626,76.625,0.714,-4.655,0.284,0.512,0.0,0.423,0.26,60,"Fronteamos Porque Podemos (feat. Daddy Yankee, Yandel & Nengo Flow)","De La Ghetto, Yandel, Ñengo Flow, Daddy Yankee","Fronteamos Porque Podemos (feat. Daddy Yankee, Yandel & Nengo Flow)",2015-08-28,latin,hip-hop,0.0,5.0
0.733,78.831,0.474,-6.82,0.0663,0.483,0.0,0.192,0.0447,48,La Bala,Calle 13,Entren Los Que Quieran,2010-11-22,latin,hip-hop,1.0,8.0
0.805,142.503,0.691,-6.81,0.0975,0.866,0.0,0.0947,0.59,60,"Latinoamérica (feat. Totó la Momposina, Susana Baca & Maria Rita)","Calle 13, Totó La Momposina, Susana Baca, Maria Rita",Entren Los Que Quieran,2010-11-22,latin,hip-hop,0.0,2.0
0.817,89.927,0.721,-5.271,0.0936,0.777,0.0,0.228,0.153,43,Digo Lo Que Pienso,Calle 13,Entren Los Que Quieran,2010-11-22,latin,hip-hop,0.0,2.0
0.808,82.15,0.333,-6.476,0.427,0.518,0.0,0.26,0.452,52,Adentro,Calle 13,MultiViral,2014-02-28,latin,hip-hop,0.0,4.0
0.836,91.0,0.763,-4.989,0.0918,0.514,0.0,0.251,0.151,49,Epílogo,Canserbero,Vida,2010-01-01,latin,hip-hop,1.0,6.0
0.794,93.325,0.56,-4.28,0.153,0.829,0.0,0.282,0.619,47,Clima Tropical,Canserbero,Vida,2010-01-01,latin,hip-hop,1.0,0.0
0.805,90.945,0.552,-4.511,0.277,0.846,0.0,0.27,0.678,58,Aceptas,Canserbero,Vida,2010-01-01,latin,hip-hop,0.0,5.0
0.685,103.926,0.697,-7.215,0.0952,0.578,0.000506,0.0421,0.00388,51,1977,Ana Tijoux,1977,2010-04-27,latin,hip-hop,0.0,9.0
0.896,90.622,0.662,-5.311,0.186,0.79,0.0,0.251,0.318,68,Bandoleros,"Don Omar, Tego Calderón",The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack),2006-06-20,latin,hip-hop,0.0,5.0
0.804,100.979,0.932,-5.939,0.0649,0.926,0.0,0.0811,0.128,38,¿Qué pasa?,Orishas,emigrante,2003-02-28,latin,hip-hop,0.0,2.0
0.744,87.444,0.57,-4.008,0.397,0.638,0.0134,0.359,0.133,51,Abayarde,Tego Calderón,El Abayarde,2003-07-01,latin,hip-hop,1.0,5.0
0.8,87.319,0.646,-5.523,0.052,0.959,0.0,0.392,0.692,36,La Fokin Moda,Calle 13,Residente o Visitante,2007-04-19,latin,hip-hop,1.0,0.0
0.516,70.038,0.725,-9.853,0.0646,0.733,0.0,0.312,0.188,41,Shock,Ana Tijoux,La Bala,2012,latin,hip-hop,1.0,7.0
0.664,90.168,0.742,-6.379,0.0537,0.695,0.0,0.353,0.0393,11,Rueda De Prensa,Akapellah,Como Siempre,2014-11-16,latin,hip-hop,1.0,2.0
0.455,127.966,0.907,-11.124,0.0978,0.223,0.0366,0.225,0.272,31,Milki,Akapellah,Milki,2016-08-23,latin,hip-hop,1.0,3.0
0.573,88.914,0.651,-7.229,0.103,0.369,0.0,0.516,0.0651,16,La Vida Es Un Freestyle,Akapellah,Como Siempre,2014-11-16,latin,hip-hop,1.0,0.0
0.484,82.741,0.661,-10.982,0.107,0.733,0.0,0.523,0.71,36,Fue un Placer,Los Aldeanos,El Atropello,2014-12-30,latin,hip-hop,0.0,4.0
0.674,96.69,0.647,-5.037,0.351,0.327,0.0,0.223,0.549,42,Alegria,Tego Calderón,El Abayarde: Contra-Ataca,2007-08-28,latin,hip-hop,0.0,4.0
0.62,170.598,0.636,-7.064,0.115,0.824,0.0,0.416,0.078,34,Payaso,"Tego Calderón, Eddie Dee, Voltio",The Underdog - El Subestimado,2006-08-29,latin,hip-hop,1.0,7.0
0.663,90.368,0.677,-5.479,0.402,0.687,3.85e-05,0.222,0.282,25,Lo Hecho Hecho Esta,"Tego Calderón, Chyno Nyno, Voltio, Pirulo, Ñejo",El Abayarde: Contra-Ataca,2007-08-28,latin,hip-hop,1.0,7.0
